"source" "target" "tag"
1 8 "little"
8 9 "little"
9 25 "little"
1 41 "great"
25 46 "little"
59 60 "young"
60 63 "young"
46 64 "little"
41 66 "great"
64 69 "little"
66 76 "great"
71 79 "good"
69 105 "little"
104 107 "weak"
105 115 "little"
115 120 "little"
120 122 "little"
122 125 "little"
79 134 "good"
125 136 "little"
76 138 "great"
107 141 "weak"
134 143 "good"
129 143 "sweet"
164 165 "ignorant"
136 169 "little"
169 171 "little"
171 177 "little"
177 183 "little"
183 184 "little"
138 192 "great"
143 199 "good"
184 201 "little"
201 204 "little"
156 221 "short"
93 226 "ridiculous"
204 233 "little"
211 233 "poor"
233 237 "poor"
237 239 "poor"
233 244 "little"
244 245 "little"
245 254 "little"
199 256 "good"
192 259 "great"
63 259 "young"
256 263 "good"
254 269 "little"
259 270 "young"
125 272 "old"
270 274 "young"
5 281 "fine"
269 281 "little"
281 286 "little"
1 286 "warm"
286 298 "little"
15 299 "private"
298 300 "little"
127 320 "ordinary"
300 349 "little"
259 352 "great"
349 352 "little"
272 352 "old"
352 365 "little"
263 375 "good"
365 379 "little"
352 383 "great"
76 383 "strong"
133 394 "natural"
379 403 "little"
274 407 "young"
383 411 "great"
403 411 "little"
411 413 "little"
413 414 "little"
267 417 "comfortable"
375 417 "good"
414 417 "little"
411 418 "great"
352 418 "old"
239 418 "poor"
90 424 "expressive"
407 425 "young"
418 429 "great"
429 432 "great"
432 438 "great"
417 444 "little"
425 446 "young"
281 452 "fine"
444 452 "little"
452 457 "little"
457 462 "little"
462 467 "little"
430 471 "cold"
467 473 "little"
286 473 "warm"
418 479 "poor"
417 486 "good"
446 492 "young"
473 505 "little"
486 506 "good"
505 507 "little"
143 509 "sweet"
242 512 "bright"
506 512 "good"
141 512 "good-natured"
507 512 "little"
492 512 "young"
512 519 "young"
512 524 "good"
524 530 "good"
512 536 "little"
536 542 "little"
393 547 "unusual"
530 549 "good"
542 571 "little"
570 575 "afraid"
571 580 "little"
580 584 "little"
394 588 "natural"
576 591 "hard"
584 591 "little"
591 592 "little"
592 595 "little"
259 595 "original"
575 596 "afraid"
595 600 "little"
600 609 "little"
418 610 "old"
610 611 "old"
609 615 "little"
438 618 "great"
611 621 "old"
621 622 "old"
339 622 "plain"
618 649 "great"
519 649 "young"
622 674 "old"
649 676 "great"
674 679 "old"
679 680 "old"
615 696 "little"
75 699 "wonderful"
680 703 "old"
696 714 "little"
676 725 "great"
447 730 "old-fashioned"
730 731 "old-fashioned"
703 732 "old"
732 736 "old"
33 740 "happy"
736 743 "old"
204 745 "familiar"
588 745 "natural"
743 746 "old"
746 750 "old"
725 751 "great"
750 752 "old"
21 755 "fair"
752 759 "old"
221 760 "short"
714 765 "little"
701 767 "clean"
591 767 "hard"
93 771 "extraordinary"
649 780 "young"
759 781 "old"
765 796 "little"
452 797 "fine"
797 798 "fine"
781 811 "old"
811 815 "old"
596 823 "afraid"
796 823 "little"
815 823 "old"
549 830 "good"
823 831 "little"
509 833 "sweet"
831 835 "little"
835 838 "little"
771 847 "extraordinary"
751 851 "great"
760 851 "short"
383 853 "strong"
479 854 "poor"
830 855 "good"
854 860 "poor"
777 867 "satisfied"
851 873 "great"
471 876 "cold"
838 878 "little"
873 885 "great"
878 887 "little"
780 888 "young"
823 890 "old"
855 892 "good"
887 892 "little"
847 896 "extraordinary"
890 897 "old"
860 902 "poor"
417 920 "comfortable"
144 921 "pleasant"
892 933 "little"
933 935 "little"
876 937 "cold"
745 937 "natural"
888 937 "young"
252 938 "difficult"
885 940 "great"
902 954 "poor"
937 970 "cold"
767 970 "hard"
935 970 "little"
970 972 "cold"
920 983 "comfortable"
755 984 "fair"
972 990 "cold"
417 996 "honest"
745 997 "familiar"
970 999 "little"
996 1000 "honest"
603 1002 "pleased"
547 1003 "unusual"
999 1012 "little"
175 1021 "open"
1012 1022 "little"
990 1024 "cold"
595 1025 "original"
1022 1032 "little"
473 1033 "warm"
940 1035 "great"
1021 1036 "open"
1024 1037 "cold"
937 1037 "young"
1037 1043 "cold"
888 1043 "social"
1043 1048 "cold"
1048 1049 "cold"
984 1055 "fair"
1033 1057 "warm"
1032 1058 "little"
1058 1059 "little"
299 1061 "private"
424 1063 "expressive"
1061 1067 "private"
1059 1069 "little"
1069 1071 "little"
950 1075 "friendly"
884 1080 "nice"
853 1080 "strong"
1057 1080 "warm"
615 1083 "proud"
1071 1084 "little"
50 1086 "glad"
1084 1094 "little"
1094 1097 "little"
954 1097 "poor"
1097 1099 "little"
1035 1100 "great"
1099 1101 "little"
1049 1103 "cold"
1101 1104 "little"
442 1105 "awful"
1025 1106 "original"
921 1107 "pleasant"
1104 1108 "little"
1100 1109 "great"
1109 1111 "great"
851 1117 "short"
1108 1125 "little"
897 1126 "old"
1125 1130 "little"
1126 1130 "old"
1130 1131 "old"
997 1133 "familiar"
937 1133 "natural"
1130 1135 "little"
833 1137 "sweet"
1037 1138 "young"
1000 1144 "honest"
823 1156 "afraid"
1135 1157 "little"
47 1158 "pretty"
1097 1159 "poor"
892 1165 "good"
45 1167 "bad"
1117 1168 "short"
1168 1169 "short"
1165 1170 "good"
1157 1176 "little"
1176 1184 "little"
1184 1185 "little"
1138 1185 "young"
1185 1186 "little"
1186 1189 "little"
1159 1190 "poor"
1185 1192 "young"
1043 1193 "social"
1189 1198 "little"
1131 1198 "old"
1192 1200 "young"
1170 1202 "good"
1200 1205 "young"
1106 1208 "original"
1198 1211 "old"
1211 1216 "old"
1216 1217 "old"
1198 1219 "little"
1156 1220 "afraid"
1217 1221 "old"
1221 1222 "old"
1222 1225 "old"
1202 1226 "good"
1226 1227 "good"
1227 1228 "good"
1225 1229 "old"
1219 1231 "little"
1111 1232 "great"
1228 1238 "good"
1232 1238 "great"
1229 1252 "old"
1238 1255 "good"
1169 1268 "short"
320 1269 "ordinary"
1220 1274 "afraid"
1255 1275 "good"
1231 1278 "little"
1238 1279 "great"
1274 1280 "afraid"
1278 1280 "little"
1279 1281 "great"
1093 1281 "terrible"
457 1284 "sad"
1281 1285 "great"
1280 1285 "little"
447 1285 "strange"
1285 1287 "little"
1205 1297 "young"
1297 1307 "young"
1287 1309 "little"
699 1312 "wonderful"
1275 1326 "good"
1193 1326 "innocent"
431 1326 "tall"
1285 1345 "strange"
769 1346 "remarkable"
1285 1347 "great"
1003 1350 "unusual"
1326 1353 "good"
1353 1357 "good"
1357 1358 "good"
110 1366 "gentle"
1309 1366 "little"
1312 1371 "wonderful"
1358 1372 "good"
1252 1372 "old"
1366 1376 "little"
740 1398 "happy"
1347 1407 "great"
1407 1409 "great"
1398 1411 "happy"
1036 1413 "open"
1307 1416 "young"
1416 1425 "young"
1376 1429 "little"
1429 1446 "little"
1372 1448 "good"
1268 1452 "short"
1446 1454 "little"
1425 1464 "young"
1448 1471 "good"
798 1478 "fine"
1067 1479 "private"
1479 1481 "private"
1454 1483 "little"
1483 1484 "little"
1409 1486 "great"
1484 1487 "little"
1452 1487 "short"
1486 1490 "great"
1137 1492 "sweet"
1080 1493 "warm"
1372 1498 "old"
1471 1507 "good"
1507 1508 "good"
1280 1518 "afraid"
1498 1524 "tough"
1487 1526 "little"
1083 1530 "proud"
896 1540 "extraordinary"
1464 1540 "young"
1526 1547 "little"
1547 1554 "little"
1190 1554 "poor"
1554 1555 "little"
29 1556 "ambitious"
1508 1557 "good"
1326 1558 "innocent"
1487 1561 "short"
1193 1561 "social"
1555 1562 "little"
767 1564 "rough"
1103 1568 "cold"
1490 1576 "great"
970 1582 "hard"
1493 1582 "warm"
1562 1584 "little"
1498 1585 "old"
1584 1586 "little"
1586 1590 "little"
1590 1592 "little"
1585 1592 "old"
1592 1594 "little"
1594 1601 "little"
1592 1604 "old"
1601 1605 "little"
1605 1610 "little"
1561 1611 "short"
1198 1617 "cruel"
1557 1620 "good"
1610 1620 "little"
1604 1623 "old"
868 1625 "powerful"
1576 1626 "great"
1080 1629 "strong"
1629 1631 "strong"
1620 1633 "little"
1631 1633 "strong"
1633 1637 "little"
1623 1639 "old"
1540 1639 "young"
1626 1643 "great"
1554 1643 "poor"
1643 1648 "great"
1648 1659 "great"
1518 1661 "afraid"
646 1672 "cheerful"
693 1673 "attentive"
1637 1685 "little"
857 1698 "clever"
1659 1703 "great"
1685 1704 "little"
1133 1706 "familiar"
1611 1706 "short"
610 1707 "elderly"
1481 1713 "private"
1492 1714 "sweet"
1550 1715 "interesting"
1692 1718 "respectable"
1620 1724 "good"
